"Order Owner Switched To","Order Owner Switched To"
"Owner Switched By","Owner Switched By"
"Customer Notified","Customer Notified"
"Switch Order Owner - Customer Notification","Switch Order Owner - Customer Notification"
"Switch Order Owner Notification Email Sender","Switch Order Owner Notification Email Sender"
"Switch Order Owner Notification Template","Switch Order Owner Notification Template"
"Switch Order Owner","Switch Order Owner"
"Cancel","Cancel"
"Comma-separated.","Comma-separated."
"Customer Notification","Customer Notification"
"Enabled","Enabled"
"Switch Owner History","Switch Owner History"
"InfoBeans Extensions","InfoBeans Extensions"
"Notified","Notified"
"Notify New Owner & Send Copy To Admin","Notify New Owner & Send Copy To Admin"
"Order owner was successfully switched.","Order owner was successfully switched."
"Send Switch Order Notification Copy To","Send Switch Order Notification Copy To"
"Some data was missed or your session was expired. Please try again.","Some data was missed or your session was expired. Please try again."
"%s Order were not be updated due to some error.","%s Order were not be updated due to some error."